company_name,state,sector,paid_up_capital,authorized_cap_inr,age_years,director_count,sector_risk_score,credit_score,default_risk,log_cap,capital_tier,is_metro,state_msme_credit_cr,is_opportunity,credit_score_raw,state_npa_proxy,credit_gap_ratio
Green Solutions LLP,Telangana,Logistics,7052874.174935317,9315173.388493951,5.556900895842761,3,0.35,73.4,0,15.768945917881895,Small,True,51500.0,1,46.2,0.06,0.45
Nova Systems Pvt Ltd,Delhi,Construction,282833.8238067891,326545.39254682016,7.902392866259238,3,0.68,32.9,0,12.552618344768607,Micro,True,103000.0,0,30.5,0.04,0.65
Lakshmi Systems LLP,Gujarat,IT Services,11450404.07968548,14411674.52463855,5.5790043492200825,3,0.15,85.3,0,16.2535356654772,Small,True,123600.0,0,53.2,0.06,0.45
Prime Enterprises LLP,Karnataka,Manufacturing,122425.58981101715,144909.33297029155,10.320872099887024,3,0.42,60.4,0,11.715266862485931,Micro,True,144200.0,1,40.4,0.05,0.65
Apex Trading Ltd,Gujarat,Manufacturing,3689686.4791895626,4758163.06940149,4.439156659931177,2,0.42,52.2,0,15.121052318443404,Small,True,123600.0,0,37.5,0.06,0.45
Lakshmi Ventures Pvt Ltd,Maharashtra,Manufacturing,844255.3606044877,1113983.2331625782,5.086531402590596,3,0.42,37.0,0,13.64621147224903,Micro,True,226600.0,0,32.3,0.05,0.65
Green Ventures Corp,West Bengal,Retail,2602240.820990716,2947567.5792586035,10.314380913758727,2,0.28,92.4,0,14.771883870319924,Small,False,51500.0,0,58.9,0.08,0.45
Green Logistics Pvt Ltd,Rajasthan,IT Services,1570952.4330455633,2065231.028695436,5.450566901226379,3,0.15,66.3,0,14.267193275197904,Small,False,51500.0,1,42.8,0.08,0.45
Sai Ventures LLP,Rajasthan,Logistics,2855722.5306370407,3725778.30364812,6.4158242826463985,1,0.35,70.2,0,14.864835794757663,Small,False,51500.0,1,44.6,0.08,0.45
Green Tech Corp,Tamil Nadu,IT Services,378272.5283303127,501432.781662545,7.445106300401367,1,0.15,65.7,0,12.843372832836526,Micro,True,154500.0,1,42.4,0.06,0.65
Blue Enterprises Pvt Ltd,Gujarat,IT Services,5856112.203184662,7609296.800995389,7.765586421798532,4,0.15,91.2,0,15.582996665581362,Small,True,123600.0,0,57.3,0.06,0.45
Lakshmi Solutions Pvt Ltd,Delhi,Construction,1687900.3383632617,2021667.8817151564,8.57291550954411,3,0.68,64.0,0,14.33899650359291,Small,True,103000.0,1,41.8,0.04,0.45
Global Tech LLP,Uttar Pradesh,Manufacturing,3977747.676785326,4383955.279717868,5.821762827560573,5,0.42,65.9,0,15.19622655811599,Small,False,51500.0,1,42.6,0.09,0.45
Green Industries Pvt Ltd,Delhi,Construction,3143580.5488766464,4124176.520119715,3.090305304612608,2,0.68,21.4,0,14.960873328532276,Small,True,103000.0,0,26.2,0.04,0.45
Royal Ventures Corp,Tamil Nadu,IT Services,391619.1205802692,516718.4208761094,0.9538798791890786,3,0.15,9.6,1,12.878047568758474,Micro,True,154500.0,0,20.5,0.06,0.65
Global Enterprises Pvt Ltd,West Bengal,Logistics,43350006.37837467,61457988.10514088,3.5928526697436767,6,0.35,78.5,0,17.584817431395532,Medium,False,51500.0,0,48.7,0.08,0.25
Lakshmi Industries Pvt Ltd,Rajasthan,Construction,2670764.5516747907,3791991.177645313,7.946193270356701,2,0.68,64.3,0,14.797875712752816,Small,False,51500.0,1,41.9,0.08,0.45
Green Tech Ltd,West Bengal,F&B,15618063.860409502,20003295.093134914,8.50654789326192,4,0.55,89.2,0,16.563938806122852,Small,False,51500.0,0,55.7,0.08,0.45
Shree Enterprises Pvt Ltd,Karnataka,Retail,4586447.09865537,6190305.626612976,5.651763573295907,4,0.28,72.8,0,15.338616447756486,Small,True,144200.0,1,45.9,0.05,0.45
Shree Logistics LLP,Uttar Pradesh,Logistics,578912.987217907,708988.2673194031,6.763906866263331,2,0.35,52.9,1,13.268909191492096,Micro,False,51500.0,0,37.7,0.09,0.65
Apex Solutions LLP,Delhi,Logistics,653820.3548388914,859507.3613596229,6.23026981716413,4,0.35,49.4,1,13.390589435386268,Micro,True,103000.0,0,36.5,0.04,0.65
Royal Logistics Pvt Ltd,Maharashtra,Logistics,9615192.733949289,12664072.057029206,9.352145115377496,2,0.35,93.4,0,16.078855085938716,Small,True,226600.0,0,60.7,0.05,0.45
Green Trading LLP,Telangana,Retail,1576623.7675821283,2119899.456490351,19.464203811236793,7,0.28,99.8,0,14.270796896974677,Small,True,51500.0,0,87.5,0.06,0.45
Green Enterprises LLP,Tamil Nadu,F&B,469240.9524709483,551136.8025016616,3.873491146292372,2,0.55,13.0,0,13.058873804532809,Micro,True,154500.0,0,22.3,0.06,0.65
Lakshmi Trading Corp,Delhi,IT Services,364122.47580390365,515275.52526109514,7.795585899061335,1,0.15,67.5,0,12.805248308338532,Micro,True,103000.0,1,43.4,0.04,0.65
Royal Enterprises LLP,Telangana,Retail,116584.89932999929,171074.56992148343,0.5,1,0.28,1.0,1,11.666383613595952,Micro,True,51500.0,0,9.9,0.06,0.65
Lakshmi Tech Ltd,West Bengal,Manufacturing,4019462.17835564,5004059.824657658,4.8361761195330075,2,0.42,57.6,0,15.20665891395577,Small,False,51500.0,1,39.3,0.08,0.45
Global Enterprises Corp,Karnataka,Manufacturing,36578728.452695265,52828931.25001293,1.5856099870806128,2,0.42,57.9,0,17.41497746693655,Medium,True,144200.0,0,39.4,0.05,0.25
Nova Industries Corp,Rajasthan,Logistics,614128.3904882877,829067.4283457132,0.9692038892874768,4,0.35,6.9,1,13.327960918622331,Micro,False,51500.0,0,18.3,0.08,0.65
Sai Solutions LLP,Karnataka,Retail,13092838.833655637,14941450.681715744,5.275009095678301,1,0.28,80.3,0,16.387576061159862,Small,True,144200.0,0,49.9,0.05,0.45
Lakshmi Trading LLP,Tamil Nadu,Construction,10043593.607746936,14980748.772191629,5.752244994358543,4,0.68,62.4,0,16.122445636810944,Small,True,154500.0,1,41.2,0.06,0.45
Nova Industries Corp,Rajasthan,Construction,4068727.66101903,5919934.432426527,1.247279470353688,8,0.68,11.2,0,15.218841140321643,Small,False,51500.0,0,21.3,0.08,0.45
Nova Trading LLP,Uttar Pradesh,Retail,98255.96515137573,143165.68988059257,13.42213524079721,2,0.28,85.1,1,11.495341419344742,Micro,False,51500.0,0,53.0,0.09,0.65
Sai Industries Corp,Uttar Pradesh,Manufacturing,589307.9632219623,830649.4982396066,9.385828958379092,5,0.42,71.4,1,13.286705880657664,Micro,False,51500.0,0,45.1,0.09,0.65
Prime Industries LLP,Uttar Pradesh,IT Services,36679115.54325852,51228795.5473002,2.013372580814279,2,0.15,75.3,0,17.41771811954608,Medium,False,51500.0,0,47.0,0.09,0.25
Sai Systems Pvt Ltd,Telangana,Retail,594717.4096162101,780188.7591789205,5.306478019965585,4,0.28,43.1,0,13.295843311355137,Micro,True,51500.0,0,34.5,0.06,0.65
Apex Ventures Corp,West Bengal,Construction,9237080.59540354,12866087.839719066,8.01143444848805,5,0.68,77.9,0,16.038736549075143,Small,False,51500.0,0,48.4,0.08,0.45
Sai Logistics LLP,Karnataka,Logistics,162898.6152300352,185074.7830659118,4.631702171292691,6,0.35,17.1,0,12.000889432586336,Micro,True,144200.0,0,24.0,0.05,0.65
Prime Enterprises LLP,Gujarat,Manufacturing,7358658.872164831,8571406.70336561,6.141832134857722,2,0.42,74.8,0,15.811388391539712,Small,True,123600.0,1,46.8,0.06,0.45
Sai Ventures Pvt Ltd,West Bengal,IT Services,1704895.7734172626,2156893.3426483315,8.255301523773948,1,0.15,84.9,0,14.34901512341664,Small,False,51500.0,0,52.8,0.08,0.45
Sai Ventures Ltd,Tamil Nadu,Construction,13281163.892942917,14637191.012372289,4.389941780995041,5,0.68,53.6,0,16.401857416007665,Small,True,154500.0,0,37.9,0.06,0.45
Prime Industries Ltd,Delhi,IT Services,447598.7071610941,610306.8111727836,8.546835342170041,2,0.15,75.3,0,13.011654601177275,Micro,True,103000.0,0,47.0,0.04,0.65
Green Enterprises Pvt Ltd,Uttar Pradesh,IT Services,2394703.828701255,2807143.999709571,8.477976956596827,6,0.15,88.4,0,14.68877053643074,Small,False,51500.0,0,55.2,0.09,0.45
Royal Systems Corp,Maharashtra,Logistics,1469997.8282443024,2104399.189788569,5.653462229521843,1,0.35,55.5,0,14.200772161641884,Small,True,226600.0,1,38.6,0.05,0.45
Sai Industries Pvt Ltd,Rajasthan,Retail,601142.3657677242,835531.8070111509,4.74599775958723,5,0.28,37.6,1,13.306588730440511,Micro,False,51500.0,0,32.6,0.08,0.65
Sai Systems Corp,Maharashtra,Construction,621818.4279266387,684059.3493339234,4.027821216062099,1,0.68,11.2,0,13.340405020773945,Micro,True,226600.0,0,21.3,0.05,0.65
Royal Ventures LLP,Karnataka,F&B,202905.84996606497,226247.87705203056,19.11126798403224,2,0.55,97.4,0,12.220502285549928,Micro,True,144200.0,0,69.9,0.05,0.65
Nova Logistics Pvt Ltd,Karnataka,Construction,453360.8128985386,499303.7379548156,1.2714132550814548,3,0.68,1.4,1,13.024445789641176,Micro,True,144200.0,0,10.3,0.05,0.65
Global Tech Corp,West Bengal,IT Services,767115.1006186076,963996.7685468264,3.4832106805455454,7,0.15,37.4,0,13.550393438670689,Micro,False,51500.0,0,32.5,0.08,0.65
Prime Logistics Pvt Ltd,Telangana,F&B,4003926.2415659465,5734651.415395395,4.087150912509597,4,0.55,41.2,0,15.20278624781507,Small,True,51500.0,0,33.8,0.06,0.45
Blue Industries Ltd,Karnataka,F&B,1028822.3584692534,1238798.157263494,16.47406011894505,1,0.55,97.2,0,13.84392633678517,Small,True,144200.0,0,69.1,0.05,0.45
Royal Tech Pvt Ltd,Maharashtra,Logistics,442896.89346406335,642636.4588885868,3.5718759139881535,6,0.35,20.0,0,13.001094533666208,Micro,True,226600.0,0,25.5,0.05,0.65
Prime Logistics Corp,Telangana,Logistics,672291.7385855898,934060.6588279424,3.0313821471964033,2,0.35,20.3,0,13.418449147544402,Micro,True,51500.0,0,25.7,0.06,0.65
Shree Solutions Ltd,Tamil Nadu,Retail,1187763.741308606,1577976.8850134136,7.3173143705667485,4,0.28,70.7,0,13.987583730092846,Small,True,154500.0,1,44.8,0.06,0.45
Blue Ventures Corp,West Bengal,F&B,24774645.177469607,33992208.211653285,11.24079350438572,3,0.55,96.7,0,17.025331356644223,Medium,False,51500.0,0,67.3,0.08,0.25
Nova Solutions LLP,Delhi,Construction,3182141.104160125,4657001.529628208,3.0994126653787575,1,0.68,21.8,0,14.973065145638236,Small,True,103000.0,0,26.3,0.04,0.45
Shree Enterprises Pvt Ltd,Rajasthan,Retail,4383659.944491381,5933732.101043263,11.858310933691564,5,0.28,96.5,0,15.293394765315178,Small,False,51500.0,0,66.8,0.08,0.45
Global Ventures LLP,Gujarat,Manufacturing,1656877.9502629775,2278462.8195216516,4.747506440769197,1,0.42,43.1,0,14.32044624018734,Small,True,123600.0,0,34.5,0.06,0.45
Green Tech Pvt Ltd,Telangana,Retail,655400.1637140767,740522.0735362945,3.6378807877924126,3,0.28,29.9,1,13.393002790823664,Micro,True,51500.0,0,29.3,0.06,0.65
Shree Tech Corp,Tamil Nadu,Logistics,21130052.67918286,29018284.86835617,4.112844019452489,2,0.35,74.8,0,16.866206930014137,Medium,True,154500.0,0,46.8,0.06,0.25
Nova Ventures Pvt Ltd,Gujarat,Retail,406299.0642368984,468273.5062452143,8.095356527796435,2,0.28,64.7,0,12.914847240077943,Micro,True,123600.0,1,42.0,0.06,0.65
Global Systems Ltd,Delhi,Logistics,75345.64069445925,92546.83167446812,3.6884208031213266,3,0.35,5.3,0,11.229854620372803,Micro,True,103000.0,0,16.9,0.04,0.65
Prime Logistics LLP,Rajasthan,Manufacturing,1802173.575098375,2542215.863250549,4.616703824005256,4,0.42,43.1,0,14.40450459098096,Small,False,51500.0,0,34.5,0.08,0.45
Global Trading Ltd,Tamil Nadu,Manufacturing,1051151.1538226432,1205589.724477174,11.5548415898623,3,0.42,88.7,0,13.865397409906674,Small,True,154500.0,0,55.4,0.06,0.45
Blue Logistics Corp,Telangana,Construction,4574953.650775173,5825282.53421043,4.954051481068612,6,0.68,43.1,0,15.33610734424376,Small,True,51500.0,0,34.5,0.06,0.45
Blue Trading Corp,Telangana,Logistics,205490.49021654745,234664.4007588664,5.3215761400039945,3,0.35,25.3,0,12.233159901922548,Micro,True,51500.0,0,27.6,0.06,0.65
Shree Solutions Pvt Ltd,Karnataka,IT Services,211599.9973010221,262437.06011013564,2.6853027750237652,3,0.15,15.4,1,12.262457692098002,Micro,True,144200.0,0,23.3,0.05,0.65
Nova Logistics Pvt Ltd,Rajasthan,Logistics,788864.2727807047,906947.7775458848,6.0510282225753755,5,0.35,50.4,0,13.578350828315454,Micro,False,51500.0,0,36.8,0.08,0.65
Royal Tech Corp,Uttar Pradesh,Logistics,4503855.53686909,6566291.0709083555,10.896654408897511,4,0.35,94.2,0,15.320444595911836,Small,False,51500.0,0,62.1,0.09,0.45
Apex Logistics Corp,West Bengal,F&B,1617511.4870104638,2177650.553122161,4.26031752908361,3,0.55,31.2,0,14.29640002527204,Small,False,51500.0,0,29.8,0.08,0.45
Sai Tech LLP,Tamil Nadu,Construction,57526.83452919577,70926.32136788937,3.888525076539838,2,0.68,0.8,0,10.960024188425734,Micro,True,154500.0,0,8.8,0.06,0.65
Apex Systems Corp,Karnataka,Manufacturing,100000000.0,116967733.46313016,5.039226772920729,5,0.42,89.8,0,18.420680753952364,Medium,True,144200.0,0,56.2,0.05,0.25
Lakshmi Trading Pvt Ltd,Gujarat,Retail,2556589.1928785616,3553922.470834309,9.68892430834877,2,0.28,90.4,0,14.7541849727072,Small,True,123600.0,0,56.7,0.06,0.45
Lakshmi Solutions LLP,Tamil Nadu,F&B,1135106.793600082,1460116.3856779332,3.8889484834266015,4,0.55,22.9,0,13.942238176722928,Small,True,154500.0,0,26.8,0.06,0.45
Sai Systems Pvt Ltd,Delhi,Construction,3059721.6324833306,3968187.078358294,7.313011282882314,3,0.68,60.6,0,14.933834826840936,Small,True,103000.0,1,40.5,0.04,0.45
Apex Enterprises Corp,West Bengal,IT Services,689745.8682659301,868816.5721310596,13.134638682102374,2,0.15,95.6,1,13.444079951679129,Micro,False,51500.0,0,64.8,0.08,0.65
Green Industries LLP,West Bengal,IT Services,12072218.0305128,15449705.133160004,7.492480036366269,3,0.15,93.2,0,16.306417422945877,Small,False,51500.0,0,60.0,0.08,0.45
Global Logistics Pvt Ltd,Karnataka,IT Services,1429346.2052129058,1975576.914596648,9.767436751032744,2,0.15,90.8,0,14.172728398157195,Small,True,144200.0,0,57.0,0.05,0.45
Sai Enterprises Corp,Delhi,Manufacturing,944288.7684625332,1058244.3424176704,2.226937497058331,1,0.42,14.7,0,13.758188356142725,Micro,True,103000.0,0,23.1,0.04,0.65
Shree Enterprises Corp,Gujarat,F&B,3090592.7465515616,3992918.596990608,1.7122653839706805,3,0.55,17.9,0,14.943873781402852,Small,True,123600.0,0,24.4,0.06,0.45
Royal Trading LLP,Uttar Pradesh,Retail,2559042.2462678337,3007743.7758554225,3.308614206829038,5,0.28,44.6,0,14.755144014673936,Small,False,51500.0,0,35.0,0.09,0.45
Sai Solutions Pvt Ltd,Rajasthan,IT Services,2485137.3207936976,2763857.4593217857,6.004952501134294,3,0.15,75.3,0,14.725838878255004,Small,False,51500.0,0,47.0,0.08,0.45
Global Enterprises LLP,Maharashtra,Retail,2359222.4500096356,3166033.0452637663,8.406939258265341,2,0.28,83.5,0,14.673843076247993,Small,True,226600.0,0,52.0,0.05,0.45
Blue Industries Ltd,Maharashtra,F&B,661667.631065552,930355.2048375582,4.977332348010113,4,0.55,26.0,0,13.402520152295724,Micro,True,226600.0,0,27.8,0.05,0.65
Apex Systems Pvt Ltd,Delhi,IT Services,3804597.946651913,4742753.262556557,12.419819945763276,2,0.15,97.6,0,15.151721142054424,Small,True,103000.0,0,71.0,0.04,0.45
Shree Industries Ltd,Telangana,Retail,337580.0605212095,450610.1972995061,6.94642615068646,7,0.28,51.3,0,12.729560939778388,Micro,True,51500.0,0,37.2,0.06,0.65
Global Solutions Ltd,Delhi,Manufacturing,249319.2832612504,321790.96125583263,9.41801895946871,4,0.42,61.7,0,12.42649362705743,Micro,True,103000.0,1,40.9,0.04,0.65
Global Logistics Corp,West Bengal,Manufacturing,45316.85314035182,66652.65378341386,3.2304286437745375,2,0.42,1.9,1,10.721456342889088,Micro,False,51500.0,0,11.2,0.08,0.65
Lakshmi Trading Ltd,Gujarat,Construction,789367.5898661261,1094426.801529764,3.595591353457307,2,0.68,10.6,0,13.57898865153595,Micro,True,123600.0,0,21.0,0.06,0.65
Green Systems Pvt Ltd,Uttar Pradesh,IT Services,111277.50735703524,147656.89397013525,11.322897961086262,1,0.15,79.5,1,11.619791413109049,Micro,False,51500.0,0,49.4,0.09,0.65
Green Systems Corp,Uttar Pradesh,Construction,1074411.631080947,1533911.2096370724,4.458693484402812,5,0.68,20.0,0,13.887284680526514,Small,False,51500.0,0,25.5,0.09,0.45
Green Industries Pvt Ltd,Gujarat,Retail,2195210.1154536065,3057451.828619711,6.886073494745098,2,0.28,73.9,0,14.60178878002749,Small,True,123600.0,1,46.4,0.06,0.45
Nova Solutions Pvt Ltd,Karnataka,Logistics,4585434.801871381,6638351.615953155,18.136750369361256,2,0.35,99.7,0,15.338395708637004,Small,True,144200.0,0,86.8,0.05,0.45
Nova Trading Corp,West Bengal,Construction,70384.1677376594,95216.13810376912,7.821716705246144,4,0.68,15.0,0,11.161737834404208,Micro,False,51500.0,0,23.2,0.08,0.65
Prime Logistics LLP,Tamil Nadu,Manufacturing,117677.49819179533,163540.5999481407,1.5947298874129054,1,0.42,1.6,1,11.67571159339745,Micro,True,154500.0,0,10.5,0.06,0.65
Shree Logistics Corp,West Bengal,IT Services,2799687.0296063484,3333482.5283638383,3.6378403187754302,1,0.15,58.2,0,14.845018550940251,Small,False,51500.0,1,39.5,0.08,0.45
Global Logistics Corp,Delhi,Construction,894211.1048459301,1195671.8417394524,2.4963143679711095,2,0.68,6.5,1,13.703698279758084,Micro,True,103000.0,0,17.9,0.04,0.65
