COMPANY_NAME,STATE,INDUSTRY,AGE_YEARS,AUTHORIZED_CAP_INR,DIRECTOR_COUNT,IS_METRO,SECTOR_RISK_SCORE,CAPITAL_TIER,CREDIT_SCORE,DEFAULT_RISK,IS_OPPORTUNITY
Eastern Malhotra Pvt Ltd,West Bengal,Logistics,0.64,79557.48,2,1,0.38,Micro,52.38,0,0
Deccan Verma Pvt Ltd,Karnataka,Construction,10.55,50000.0,3,1,0.65,Micro,59.63,0,0
Mumbai Shah Enterprises,Maharashtra,Retail,1.06,311429.69,2,1,0.32,Micro,53.01,0,0
AP Transport & Sons,Andhra Pradesh,Logistics,5.63,495289.74,3,1,0.38,Micro,47.98,1,0
Jodhpur Rao Pvt Ltd,Rajasthan,Retail,2.44,270753.5,2,0,0.32,Micro,40.09,1,0
Ajmer Engineering & Co,Rajasthan,Manufacturing,0.62,1082057.64,2,1,0.48,Small,39.69,1,0
WB Nair LLP,West Bengal,Construction,17.24,642931.81,2,0,0.65,Micro,56.12,0,0
Nashik Works Enterprises,Maharashtra,Manufacturing,8.08,1145712.65,2,0,0.48,Small,67.25,0,1
TN Stores LLP,Tamil Nadu,Retail,8.56,365259.54,3,1,0.32,Micro,77.5,0,1
Konkan Kumar & Co,Maharashtra,Manufacturing,6.69,4174944.25,2,0,0.48,Small,57.01,0,0
MP Gupta Enterprises,Madhya Pradesh,IT Services,7.61,8032112.65,2,0,0.2,Small,78.13,0,0
Jain Constructions LLP,Uttar Pradesh,Construction,11.55,1499978.15,2,0,0.65,Small,49.89,1,0
Madurai Movers & Co,Tamil Nadu,Logistics,1.91,6807967.56,2,0,0.38,Small,52.34,0,0
Mumbai Shetty Pvt Ltd,Maharashtra,Logistics,9.78,4254449.15,2,1,0.38,Small,72.43,0,1
Malhotra Manufacturing & Co,Tamil Nadu,Manufacturing,1.3,3381374.7,4,0,0.48,Small,54.65,0,0
Coimbatore Hegde LLP,Tamil Nadu,Manufacturing,0.73,4598711.45,2,0,0.48,Small,46.46,1,0
Jaipur Reddy & Co,Rajasthan,IT Services,2.21,83887.0,2,0,0.2,Micro,59.02,0,0
Lucknow Gupta LLP,Uttar Pradesh,Manufacturing,10.0,124272.87,2,1,0.48,Micro,65.32,0,1
Rohtak Gowda Pvt Ltd,Haryana,Retail,4.1,5406440.62,3,1,0.32,Small,73.74,0,0
DL Forge Pvt Ltd,Delhi,Manufacturing,2.5,385780.86,4,1,0.48,Micro,51.99,0,0
Pune Foods LLP,Maharashtra,F&B,7.63,149513.46,2,0,0.55,Micro,62.07,0,0
Ajmer Beverages Enterprises,Rajasthan,F&B,7.62,176752.68,3,0,0.55,Micro,53.22,0,0
Eastern Rao LLP,West Bengal,Logistics,17.67,125492.45,2,0,0.38,Micro,58.26,0,0
Verma Movers Pvt Ltd,Gujarat,Logistics,20.47,199355.69,2,1,0.38,Micro,75.97,0,1
Eastern Solutions Pvt Ltd,West Bengal,IT Services,0.71,2246547.03,2,0,0.2,Small,48.46,1,0
Rohini Agro Pvt Ltd,Delhi,F&B,11.03,50000.0,2,1,0.55,Micro,64.74,0,0
Bose Traders Pvt Ltd,Delhi,Retail,10.18,74934.34,2,1,0.32,Micro,59.2,0,0
DL Gupta LLP,Delhi,Logistics,2.29,1235810.38,2,1,0.38,Small,56.51,0,0
Konkan Chopra Pvt Ltd,Maharashtra,Retail,8.05,161570.38,2,1,0.32,Micro,74.54,0,1
Konkan Solutions Enterprises,Maharashtra,IT Services,1.08,13259995.2,2,0,0.2,Medium,58.0,0,0
Hegde Fabricators Pvt Ltd,Maharashtra,Manufacturing,2.4,6583264.2,2,1,0.48,Small,37.23,1,0
Varanasi Digital & Sons,Uttar Pradesh,IT Services,9.06,12569649.28,2,0,0.2,Medium,64.84,0,0
TN Beverages Pvt Ltd,Tamil Nadu,F&B,2.96,316340.83,5,1,0.55,Micro,54.52,0,0
Shetty Emporium Pvt Ltd,Delhi,Retail,12.39,724104.75,2,1,0.32,Micro,76.57,0,1
Panipat Verma LLP,Haryana,IT Services,11.83,613248.73,2,0,0.2,Micro,74.12,0,1
KA Logistics & Co,Karnataka,Logistics,8.93,50000.0,6,0,0.38,Micro,72.8,0,1
Reddy Infosystems Pvt Ltd,Tamil Nadu,IT Services,4.92,6867071.26,2,0,0.2,Small,62.99,0,0
Howrah Emporium & Sons,West Bengal,Retail,7.49,1088816.97,2,0,0.32,Small,51.99,0,0
Hubli Fabricators & Co,Karnataka,Manufacturing,2.64,50000.0,2,1,0.48,Micro,49.14,1,0
Mumbai Shetty Pvt Ltd,Maharashtra,IT Services,9.94,126116.46,2,1,0.2,Micro,69.6,0,1
Sharma Confectionery Pvt Ltd,Karnataka,F&B,3.29,506059.02,2,1,0.55,Micro,47.15,1,0
Naidu Infosystems Pvt Ltd,Maharashtra,IT Services,2.39,336166.28,2,1,0.2,Micro,49.71,1,0
Malabar Retail Co & Co,Kerala,Retail,13.28,825606.32,2,1,0.32,Micro,68.9,0,1
Anand Kitchen Pvt Ltd,Andhra Pradesh,F&B,17.05,50000.0,7,1,0.55,Micro,86.04,0,0
Varanasi Reddy & Co,Uttar Pradesh,Retail,2.72,668913.62,2,0,0.32,Micro,52.64,0,0
Jabalpur Solutions & Sons,Madhya Pradesh,IT Services,7.33,88662.13,2,0,0.2,Micro,73.23,0,1
Godavari Commerce Pvt Ltd,Andhra Pradesh,Retail,0.98,171546.35,2,1,0.32,Micro,50.35,0,0
Mysore Kapoor Pvt Ltd,Karnataka,Retail,1.74,404197.49,2,0,0.32,Micro,36.88,1,0
Gurgaon Kapoor Pvt Ltd,Haryana,F&B,1.4,9489249.33,3,1,0.55,Small,67.2,0,0
Surat Bazaar LLP,Gujarat,Retail,1.14,1294432.73,3,0,0.32,Small,59.34,0,0
Vijayawada Kitchen LLP,Andhra Pradesh,F&B,1.97,387643.47,2,1,0.55,Micro,42.08,1,0
Shah Developers Pvt Ltd,Haryana,Construction,11.96,1764299.06,2,0,0.65,Small,47.17,1,0
Verma Couriers & Co,Tamil Nadu,Logistics,1.19,815948.3,7,0,0.38,Micro,44.86,1,0
MH Realty LLP,Maharashtra,Construction,4.83,6285706.83,2,1,0.65,Small,53.59,0,0
KA Commerce LLP,Karnataka,Retail,10.0,85213.1,2,0,0.32,Micro,58.0,0,0
Salem Sharma Pvt Ltd,Tamil Nadu,Construction,1.21,6365523.4,2,0,0.65,Small,37.04,1,0
Bose Cybertech Pvt Ltd,Andhra Pradesh,IT Services,0.64,448705.23,2,0,0.2,Micro,56.03,0,0
Gwalior Mfg Co LLP,Madhya Pradesh,Manufacturing,7.57,81905.48,2,0,0.48,Micro,59.34,0,0
Mumbai Gupta Enterprises,Maharashtra,Logistics,0.6,38854645.5,2,1,0.38,Medium,60.42,0,0
DL Reddy & Co,Delhi,Logistics,5.86,726620.46,3,1,0.38,Micro,74.05,0,1
Chennai Verma & Co,Tamil Nadu,Manufacturing,15.75,50000.0,3,1,0.48,Micro,72.46,0,1
Mysore Jain LLP,Karnataka,Manufacturing,2.23,147836913.32,2,1,0.48,Large,54.99,0,0
Konkan Technologies Pvt Ltd,Maharashtra,IT Services,16.39,50000.0,2,1,0.2,Micro,78.86,0,1
Chennai Bose & Co,Tamil Nadu,IT Services,5.0,1599562.76,3,1,0.2,Small,63.12,0,0
Amritsar Mfg Co Pvt Ltd,Punjab,Manufacturing,12.97,124070.35,2,0,0.48,Micro,66.21,0,1
Chennai Mfg Co Enterprises,Tamil Nadu,Manufacturing,1.66,272652.52,4,0,0.48,Micro,59.46,0,0
DL Iyer LLP,Delhi,Construction,10.0,50000.0,3,1,0.65,Micro,67.47,0,0
Jodhpur Kitchen Enterprises,Rajasthan,F&B,12.44,164390.66,3,0,0.55,Micro,79.77,0,0
Chennai Venkat Pvt Ltd,Tamil Nadu,Construction,13.98,50000.0,2,1,0.65,Micro,47.57,1,0
JH Iyer Pvt Ltd,Jharkhand,Manufacturing,1.55,326616.05,4,0,0.48,Micro,61.88,0,0
Kapoor Mart & Sons,Bihar,Retail,10.97,398952.7,2,0,0.32,Micro,66.4,0,1
Hubli Menon LLP,Karnataka,IT Services,13.72,2701177.52,2,1,0.2,Small,93.69,0,1
NCR Menon LLP,Delhi,F&B,0.52,713806.7,5,1,0.55,Micro,51.58,0,0
KA Verma Pvt Ltd,Karnataka,Manufacturing,6.33,535588.36,3,0,0.48,Micro,53.42,0,0
Deccan Digital Pvt Ltd,Karnataka,IT Services,12.1,283636.78,6,1,0.2,Micro,85.7,0,1
Konkan Traders Pvt Ltd,Maharashtra,Retail,5.43,4302460.93,2,1,0.32,Small,68.63,0,1
Vadodara Builders & Co,Gujarat,Construction,10.0,5479551.64,2,0,0.65,Small,54.55,0,0
Capital Anand & Sons,Delhi,Logistics,1.69,43048355.48,2,1,0.38,Medium,51.13,0,0
Mumbai Shetty Pvt Ltd,Maharashtra,Logistics,21.12,105404.62,2,0,0.38,Micro,55.44,0,0
Bengaluru Shetty & Co,Karnataka,Logistics,10.0,520601.5,2,0,0.38,Micro,65.06,0,1
Faridabad Traders & Sons,Haryana,Retail,7.22,63842216.75,2,1,0.32,Medium,82.18,0,0
Bengaluru Kumar Pvt Ltd,Karnataka,Retail,11.84,859409.42,2,1,0.32,Micro,65.28,0,1
Mumbai Shah & Co,Maharashtra,Retail,5.92,718950.94,3,1,0.32,Micro,61.83,0,0
Capital InfoServ Pvt Ltd,Delhi,IT Services,19.73,6228144.66,6,1,0.2,Small,100.0,0,0
Solan Gowda Enterprises,Himachal Pradesh,F&B,9.56,254485.44,2,0,0.55,Micro,65.04,0,0
Deccan Supply Chain Pvt Ltd,Karnataka,Logistics,1.99,114839.35,2,1,0.38,Micro,45.48,1,0
Kanpur Nutrition Enterprises,Uttar Pradesh,F&B,2.48,459936.0,3,1,0.55,Micro,44.16,1,0
Kolkata Shetty & Sons,West Bengal,F&B,6.03,9522902.95,2,1,0.55,Small,56.39,0,0
KA Commerce LLP,Karnataka,Retail,3.51,4152303.76,3,0,0.32,Small,70.72,0,1
Kumar Industries Pvt Ltd,Rajasthan,Manufacturing,1.45,348385.4,6,0,0.48,Micro,49.98,1,0
Salem Venkat LLP,Tamil Nadu,Logistics,1.39,50000.0,2,0,0.38,Micro,55.36,0,0
Kanpur Projects LLP,Uttar Pradesh,Construction,12.13,50000.0,3,0,0.65,Micro,66.62,0,0
Menon Retail Co Pvt Ltd,Uttar Pradesh,Retail,10.0,1662261.31,2,0,0.32,Small,64.93,0,0
Vadodara Manufacturing Pvt Ltd,Gujarat,Manufacturing,3.46,7336195.47,6,1,0.48,Small,60.5,0,0
Agarwal Industries & Co,Maharashtra,Manufacturing,3.56,1436485.0,2,1,0.48,Small,62.9,0,0
Hyderabad Anand & Sons,Telangana,Retail,8.66,8093259.08,3,1,0.32,Small,90.41,0,0
Chennai Kumar Pvt Ltd,Tamil Nadu,IT Services,11.63,100031.25,2,1,0.2,Micro,71.58,0,1
Gowda Manufacturing Pvt Ltd,Karnataka,Manufacturing,2.26,477398.49,3,1,0.48,Micro,55.58,0,0
Konkan Industries Pvt Ltd,Maharashtra,Manufacturing,14.19,236644.44,2,1,0.48,Micro,68.95,0,1
GJ Emporium & Sons,Gujarat,Retail,8.41,50619.81,3,1,0.32,Micro,80.34,0,1
Varanasi Reddy & Co,Uttar Pradesh,Manufacturing,10.0,50000.0,2,0,0.48,Micro,51.06,0,0
MH Freight Enterprises,Maharashtra,Logistics,3.11,317047.45,4,0,0.38,Micro,57.08,0,0
DL Works Pvt Ltd,Delhi,Manufacturing,4.57,5869035.59,4,1,0.48,Small,74.46,0,0
Hubli Das LLP,Karnataka,Retail,0.69,97723.46,2,1,0.32,Micro,57.02,0,0
Varanasi Venkat & Co,Uttar Pradesh,Construction,0.68,50000.0,2,0,0.65,Micro,25.26,1,0
Konkan Bazaar & Co,Maharashtra,Retail,7.12,449302.16,2,0,0.32,Micro,60.92,0,0
Udaipur Commerce Pvt Ltd,Rajasthan,Retail,1.85,50000.0,3,0,0.32,Micro,61.1,0,0
Rao InfoServ Pvt Ltd,Tamil Nadu,IT Services,9.61,86118.8,2,1,0.2,Micro,69.06,0,1
Jalandhar Chopra & Sons,Punjab,IT Services,10.0,50000.0,3,0,0.2,Micro,76.54,0,1
MH Reddy LLP,Maharashtra,Logistics,3.51,50000.0,2,1,0.38,Micro,55.78,0,0
Agarwal Mart Enterprises,Tamil Nadu,Retail,16.64,3432821.12,2,1,0.32,Small,71.74,0,1
Agarwal Nutrition Pvt Ltd,Maharashtra,F&B,8.88,795040.48,2,1,0.55,Micro,61.25,0,0
Malabar Sharma Enterprises,Kerala,IT Services,10.17,768970.82,3,0,0.2,Micro,78.62,0,1
Iyer Mart Pvt Ltd,Madhya Pradesh,Retail,18.04,1707689.49,2,0,0.32,Small,76.43,0,1
Bengaluru Venkat Pvt Ltd,Karnataka,Retail,1.33,414904.81,2,1,0.32,Micro,53.28,0,0
Iyer Cybertech LLP,Uttar Pradesh,IT Services,16.82,233140.45,2,0,0.2,Micro,88.66,0,1
AP Kumar Pvt Ltd,Andhra Pradesh,IT Services,10.0,282594.5,2,1,0.2,Micro,80.96,0,1
Vadodara Freight Enterprises,Gujarat,Logistics,0.76,335584.51,2,0,0.38,Micro,44.36,1,0
Vadodara Singh Pvt Ltd,Gujarat,Logistics,3.89,117201.68,2,1,0.38,Micro,57.24,0,0
Bengaluru Pillai Pvt Ltd,Karnataka,Logistics,3.25,476283.36,2,1,0.38,Micro,68.05,0,1
Reddy Movers Pvt Ltd,Maharashtra,Logistics,9.28,238920.32,2,1,0.38,Micro,72.04,0,1
Naidu Manufacturing LLP,Haryana,Manufacturing,2.35,270629.73,2,0,0.48,Micro,32.58,1,0
HR Technologies LLP,Haryana,IT Services,4.76,177725.07,2,0,0.2,Micro,64.36,0,0
Varanasi Supply Chain LLP,Uttar Pradesh,Logistics,2.24,93276.82,2,1,0.38,Micro,55.83,0,0
Chennai Builders Pvt Ltd,Tamil Nadu,Construction,10.0,113477.55,2,1,0.65,Micro,61.16,0,0
TN Logistics LLP,Tamil Nadu,Logistics,8.43,18120843.42,2,0,0.38,Medium,66.55,0,0
Udaipur Mfg Co Pvt Ltd,Rajasthan,Manufacturing,7.34,1047738.65,2,0,0.48,Small,56.64,0,0
Rohtak Jain & Sons,Haryana,Retail,7.02,7646726.74,3,1,0.32,Small,77.49,0,0
Gurgaon Singh Pvt Ltd,Haryana,F&B,7.82,254447.17,2,0,0.55,Micro,55.75,0,0
Eastern Verma Pvt Ltd,West Bengal,F&B,4.73,391980.0,2,0,0.55,Micro,48.67,1,0
Varanasi Iyer Enterprises,Uttar Pradesh,Logistics,11.92,803069.83,3,0,0.38,Micro,68.03,0,1
Gowda Developers LLP,Maharashtra,Construction,16.88,127301.0,2,1,0.65,Micro,57.65,0,0
MH Cybertech LLP,Maharashtra,IT Services,5.59,3205655.21,2,1,0.2,Small,55.08,0,0
Pillai SoftTech & Sons,Haryana,IT Services,1.72,176438.66,3,1,0.2,Micro,72.72,0,1
Shetty Dairy & Co,Gujarat,F&B,2.57,3174547.4,2,0,0.55,Small,30.0,1,0
Naidu Dairy Pvt Ltd,Maharashtra,F&B,10.0,4341104.26,2,1,0.55,Small,65.24,0,0
Nashik Das LLP,Maharashtra,IT Services,1.39,4237355.1,2,1,0.2,Small,61.38,0,0
Kanpur Stores & Co,Uttar Pradesh,Retail,18.42,1205019.52,2,0,0.32,Small,73.97,0,1
MH Technologies Pvt Ltd,Maharashtra,IT Services,18.23,369201.65,2,1,0.2,Micro,81.63,0,1
Mumbai Iyer & Co,Maharashtra,Retail,1.92,50000.0,2,1,0.32,Micro,45.14,1,0
Vadodara Kitchen Enterprises,Gujarat,F&B,3.53,746673.95,2,0,0.55,Micro,43.04,1,0
Udaipur Anand Enterprises,Rajasthan,Logistics,4.0,6047256.31,3,1,0.38,Small,75.47,0,0
Agra Das Pvt Ltd,Uttar Pradesh,Retail,3.06,50000.0,3,0,0.32,Micro,69.8,0,1
Jain Bazaar & Co,Karnataka,Retail,1.2,461651.11,2,1,0.32,Micro,49.91,1,0
Anand SoftTech & Co,Rajasthan,IT Services,2.96,60349.49,2,1,0.2,Micro,45.89,1,0
Deccan Kumar & Sons,Karnataka,Retail,8.62,66881.0,2,0,0.32,Micro,59.6,0,0
Rao Forge LLP,Tamil Nadu,Manufacturing,9.7,801956.92,3,0,0.48,Micro,78.22,0,1
Eastern Agarwal & Co,West Bengal,Construction,7.58,313127.8,3,0,0.65,Micro,50.75,0,0
Kanpur Nutrition Pvt Ltd,Uttar Pradesh,F&B,5.73,988581.07,2,0,0.55,Micro,44.82,1,0
Nalgonda InfoServ LLP,Telangana,IT Services,14.37,1967784.18,2,1,0.2,Small,92.01,0,1
Shetty Estates Pvt Ltd,Uttar Pradesh,Construction,0.92,7037369.03,5,0,0.65,Small,42.81,1,0
GJ Reddy & Sons,Gujarat,F&B,3.51,1259937.54,2,0,0.55,Small,44.78,1,0
Konkan Gupta & Co,Maharashtra,F&B,4.14,14146438.27,2,1,0.55,Medium,60.2,0,0
TN Logistics LLP,Tamil Nadu,Logistics,5.0,1183142.54,2,1,0.38,Small,68.94,0,1
Iyer Transport Pvt Ltd,Karnataka,Logistics,0.8,532068.89,2,1,0.38,Micro,45.72,1,0
Anand Mart Pvt Ltd,Karnataka,Retail,5.03,191476.54,3,1,0.32,Micro,76.07,0,1
JH Cybertech & Sons,Jharkhand,IT Services,3.26,1163019.32,3,0,0.2,Small,66.95,0,1
Das Emporium Enterprises,Tamil Nadu,Retail,8.91,208828.04,2,1,0.32,Micro,64.45,0,0
Shetty Traders Pvt Ltd,Haryana,Retail,0.89,1243142.94,3,1,0.32,Small,63.24,0,0
UP Supply Chain & Sons,Uttar Pradesh,Logistics,5.0,47675697.54,2,1,0.38,Medium,59.05,0,0
Godavari Dairy Pvt Ltd,Andhra Pradesh,F&B,13.18,123580.94,2,0,0.55,Micro,63.32,0,0
NCR Gupta & Sons,Delhi,Logistics,7.59,2210278.5,2,1,0.38,Small,88.62,0,1
Vadodara Bose Pvt Ltd,Gujarat,IT Services,16.43,249730.93,2,0,0.2,Micro,82.52,0,1
DL Nair Pvt Ltd,Delhi,Construction,2.2,304986.06,2,1,0.65,Micro,33.42,1,0
Mysore Kumar & Co,Karnataka,Construction,10.0,8303492.59,2,1,0.65,Small,63.62,0,0
Naidu Nutrition & Co,Rajasthan,F&B,4.84,1090961.01,2,0,0.55,Small,39.96,1,0
KA Reddy LLP,Karnataka,Construction,0.92,177171.0,2,1,0.65,Micro,29.09,1,0
Konkan Transport & Sons,Maharashtra,Logistics,4.07,5951560.96,3,0,0.38,Small,64.16,0,0
Kanpur Hegde Pvt Ltd,Uttar Pradesh,Construction,8.4,157632.22,2,1,0.65,Micro,52.13,0,0
Deccan Cybertech LLP,Karnataka,IT Services,9.84,2304409.19,2,1,0.2,Small,69.03,0,1
Ludhiana Commerce LLP,Punjab,Retail,14.05,6768061.06,2,0,0.32,Small,75.05,0,0
Rourkela Malhotra Pvt Ltd,Odisha,Retail,17.28,1055317.1,2,0,0.32,Small,72.63,0,1
Reddy Traders Pvt Ltd,Kerala,Retail,8.51,193132.72,2,1,0.32,Micro,78.97,0,1
TN Solutions LLP,Tamil Nadu,IT Services,2.07,471592.68,3,1,0.2,Micro,56.7,0,0
Nair Industries Enterprises,Maharashtra,Manufacturing,14.16,5202872.41,7,1,0.48,Small,78.04,0,0
Menon Beverages & Co,Kerala,F&B,2.65,443225.0,3,1,0.55,Micro,50.45,0,0
Capital Kapoor Pvt Ltd,Delhi,Manufacturing,9.46,4306462.91,2,1,0.48,Small,73.88,0,1
BR Solutions LLP,Bihar,IT Services,4.09,485699.24,2,0,0.2,Micro,62.8,0,0
BR Sharma Pvt Ltd,Bihar,F&B,1.81,130695.48,2,0,0.55,Micro,37.33,1,0
Secunderabad Naidu Pvt Ltd,Telangana,Manufacturing,12.17,865044.03,2,1,0.48,Micro,69.48,0,1
