company_name,State,Sector,paid_up_capital,authorized_cap_inr,age_years,capital_tier,director_count,state_npa_proxy,credit_score,default_risk,is_metro,sector_risk_score
Nova Solutions Corp,Maharashtra,Construction,2823126.0688688033,3464842.172949947,9.77,Micro,3,0.05,664,0,1,0.62
Ravi Solutions Pvt Ltd,Haryana,IT Services,6103148.850443922,8618513.96634794,8.6,Micro,3,0.08,677,0,0,0.28
Balaji Industries Corp,Karnataka,Retail,5424533.753338091,6070908.939270615,5.57,Micro,2,0.05,701,0,1,0.35
Quality Logistics Ltd,Maharashtra,Construction,55150888.290890865,78769078.39475296,10.59,Small,2,0.05,707,0,1,0.62
Jagannath Trading Pvt Ltd,Maharashtra,Logistics,7825374.70110212,9619703.884770453,2.4,Micro,1,0.05,496,0,1,0.42
Balaji Foods Ltd,Tamil Nadu,Construction,34588344.24984657,41671694.923227586,7.6,Small,2,0.08,678,0,1,0.62
Balaji Industries Ltd,Uttarakhand,Retail,6945224.078525199,8370916.982217317,9.84,Micro,4,0.08,704,0,0,0.35
Balaji Builders Corp,Uttar Pradesh,Retail,6247308.223420291,7429101.287569299,6.44,Micro,1,0.11,664,0,0,0.35
Indian Ventures Pvt Ltd,Maharashtra,Retail,9579070.2178314,14263635.548042873,6.93,Micro,2,0.05,678,0,1,0.35
Shree Tech Pvt Ltd,Maharashtra,Manufacturing,2821352.48132058,3546198.8574574576,13.01,Micro,4,0.05,753,0,1,0.48
Maruti Ventures LLP,Telangana,Logistics,7501084.838766212,9725220.711702628,7.55,Micro,2,0.08,673,0,1,0.42
Balaji Logistics Ltd,West Bengal,Retail,438048856.0948426,605206651.9550517,4.47,Medium,2,0.08,684,0,1,0.35
Nova Builders LLP,Karnataka,Retail,546818.6342234252,750040.9149022665,6.34,Micro,4,0.05,671,0,1,0.35
Sai Tech LLP,Karnataka,IT Services,5348021.184276645,7013096.975307267,4.96,Micro,4,0.05,671,0,1,0.28
Ravi Ventures LLP,Karnataka,Logistics,52060559.891163625,60322308.140370294,4.51,Small,3,0.05,717,0,1,0.42
Indian Trading Ltd,Maharashtra,Logistics,953901.7938533898,1160437.6732813276,9.73,Micro,1,0.05,686,0,1,0.42
Shree Solutions Corp,Andhra Pradesh,Manufacturing,2402419.558026071,2741554.078179592,12.65,Micro,3,0.08,726,0,0,0.48
Nova Solutions Ltd,Delhi,Logistics,4999246.022149077,6164934.442411354,13.2,Micro,4,0.05,695,0,1,0.42
Jagannath Logistics LLP,West Bengal,Retail,75156452.26134671,90545247.29552932,5.76,Small,3,0.08,700,0,1,0.35
Nova Industries Pvt Ltd,Odisha,Manufacturing,4887276.048262199,5430127.709563644,12.87,Micro,1,0.11,693,0,0,0.48
Maruti Trading Pvt Ltd,Maharashtra,Logistics,6794970.70107307,7850901.878959414,8.22,Micro,1,0.05,664,0,1,0.42
Apex Fabrics Pvt Ltd,Madhya Pradesh,Manufacturing,1462678.9587829688,2149633.548582541,8.99,Micro,3,0.08,661,0,0,0.48
Indian Trading LLP,Tamil Nadu,Logistics,87105396.88039446,102237155.80904973,7.05,Small,3,0.08,716,0,1,0.42
Apex Industries Corp,Tamil Nadu,F&B,8738010.178421464,12556542.088059753,10.28,Micro,1,0.08,663,0,1,0.55
Nova Ventures LLP,Maharashtra,IT Services,5077205.222030383,7371081.804310439,10.24,Micro,4,0.05,638,0,1,0.28
Apex Tech Corp,Maharashtra,Retail,208874011.82018238,269702143.3951853,6.41,Medium,4,0.05,711,0,1,0.35
Shree Foods Pvt Ltd,Jharkhand,IT Services,88181211.98191395,102451289.48978887,9.96,Small,1,0.11,687,0,0,0.28
Quality Trading Corp,Madhya Pradesh,Logistics,93746938.94261599,123948061.51427959,11.33,Small,1,0.08,741,0,0,0.42
Maruti Logistics Corp,Haryana,Retail,1962683.0417688699,2547764.445784383,3.44,Micro,3,0.08,543,0,0,0.35
Dynamic Trading Corp,Andhra Pradesh,Manufacturing,10689352.441858005,14606533.220068969,10.31,Small,3,0.08,701,0,0,0.48
Balaji Fabrics Corp,Gujarat,Manufacturing,51455407.72184965,63447293.52562837,15.51,Small,2,0.05,794,0,0,0.48
Global Builders Pvt Ltd,Uttar Pradesh,Logistics,4022979.965063518,4570252.614029652,6.95,Micro,4,0.11,634,0,0,0.42
Quality Industries Pvt Ltd,Gujarat,Manufacturing,6487994.762584559,9080396.141472822,8.55,Micro,2,0.05,677,0,0,0.48
Quality Industries Ltd,Gujarat,Construction,9391607.90703071,10848510.491306275,14.77,Micro,3,0.05,737,0,0,0.62
Apex Fabrics Pvt Ltd,Gujarat,Manufacturing,8333223.91773305,11819107.986381264,4.38,Micro,1,0.05,704,0,0,0.48
Quality Industries Ltd,Tamil Nadu,Retail,8382382.736039639,12477022.162123963,4.2,Micro,4,0.08,668,0,1,0.35
Ravi Fabrics Ltd,Tamil Nadu,Retail,92834248.36791398,129715517.56912772,6.32,Small,4,0.08,707,0,1,0.35
Nova Industries Ltd,Karnataka,Manufacturing,2189764.8942624186,3156193.313784518,24.45,Micro,1,0.05,753,0,1,0.48
Dynamic Trading Corp,Karnataka,Retail,6540390.592959292,7723060.776181448,4.39,Micro,3,0.05,665,0,1,0.35
Apex Foods Corp,Karnataka,Logistics,8676087.92909502,10622995.87587469,19.29,Micro,3,0.05,741,0,1,0.42
Maruti Enterprises LLP,Maharashtra,Retail,5028417.572143761,6390181.016929533,1.17,Micro,3,0.05,524,0,1,0.35
Balaji Builders Corp,Karnataka,Construction,5995947.754134137,7481320.204356418,8.53,Micro,1,0.05,691,0,1,0.62
Maruti Solutions Ltd,Maharashtra,IT Services,2985921.930938268,4245926.502981936,3.7,Micro,3,0.05,557,0,1,0.28
Sai Solutions Pvt Ltd,West Bengal,Manufacturing,8439408.76025481,10004403.90968218,15.85,Micro,4,0.08,723,0,1,0.48
Apex Tech Pvt Ltd,Maharashtra,Retail,1272965.1392369247,1852857.819783772,6.25,Micro,4,0.05,700,0,1,0.35
Maruti Tech LLP,Karnataka,IT Services,2372868.3917186176,2814749.7251452683,3.72,Micro,1,0.05,512,0,1,0.28
Apex Builders Ltd,Telangana,IT Services,5691633.855466148,7106294.846230306,3.84,Micro,4,0.08,518,0,1,0.28
Global Solutions Corp,Maharashtra,Manufacturing,4797717.923008204,5499854.706941578,6.29,Micro,4,0.05,669,0,1,0.48
Indian Tech Ltd,Andhra Pradesh,Logistics,6295546.766083926,7668414.063234909,6.03,Micro,4,0.08,675,0,0,0.42
Indian Enterprises LLP,Maharashtra,Retail,8295790.700221661,10278126.357926607,4.55,Micro,2,0.05,675,0,1,0.35
Ravi Tech Ltd,Uttar Pradesh,IT Services,9084072.182902921,10978984.006067244,18.47,Micro,4,0.11,681,0,0,0.28
Maruti Ventures Ltd,Tamil Nadu,Retail,9669777.895371826,13999422.655982435,6.29,Micro,1,0.08,657,0,1,0.35
Shree Fabrics Pvt Ltd,Jharkhand,Logistics,298537531.10691375,423288994.5001653,3.85,Medium,1,0.11,503,0,0,0.42
Dynamic Foods Ltd,Karnataka,Retail,829746.3564737568,1224953.4769127336,3.44,Micro,4,0.05,521,0,1,0.35
Ravi Builders Corp,Tamil Nadu,F&B,8440984.20744909,11762630.651633898,15.48,Micro,1,0.08,748,0,1,0.55
Ravi Tech Ltd,Uttar Pradesh,Logistics,8546325.021562498,11196735.741820952,9.75,Micro,2,0.11,609,0,0,0.42
Nova Industries Ltd,Gujarat,Logistics,7816121.065837883,9818260.35611288,3.41,Micro,3,0.05,541,0,0,0.42
Sai Foods Corp,Tamil Nadu,Retail,6893727.495937135,10209760.81627061,13.69,Micro,1,0.08,760,0,1,0.35
Apex Tech Ltd,Gujarat,Construction,4670918.247470094,5460843.771647734,12.53,Micro,1,0.05,719,0,0,0.62
Ravi Builders Corp,Lakshadweep,IT Services,2128844.4350585938,2367008.144019641,7.16,Micro,2,0.08,651,0,0,0.28
Nova Ventures Pvt Ltd,Gujarat,Retail,5258633.50214426,6372187.9307182515,3.41,Micro,2,0.05,541,0,0,0.35
Dynamic Fabrics Pvt Ltd,Gujarat,Manufacturing,7927281.329953316,11283985.276705446,3.1,Micro,3,0.05,529,0,0,0.48
Apex Foods Corp,Karnataka,Construction,746853.1084495685,864642.8637251466,20.41,Micro,1,0.05,750,0,1,0.62
Sai Industries Pvt Ltd,Tamil Nadu,Construction,48061831.81831918,64107423.58777599,8.6,Small,4,0.08,702,0,1,0.62
Global Tech Pvt Ltd,Uttar Pradesh,Retail,477044241.3760136,595368669.6476207,11.31,Medium,3,0.11,673,0,0,0.35
Quality Builders Corp,Telangana,Logistics,5625053.96588617,8148324.2077879235,8.29,Micro,2,0.08,684,0,1,0.42
Ravi Solutions Pvt Ltd,Delhi,Manufacturing,8388436.713141379,12289908.050855545,5.84,Micro,1,0.05,646,0,1,0.48
Jagannath Tech Ltd,Gujarat,Retail,3261272.8223855756,3992521.8703753245,2.27,Micro,3,0.05,497,0,0,0.35
Global Trading Corp,Maharashtra,Manufacturing,6511411.301884028,7172034.220777856,7.59,Micro,1,0.05,668,0,1,0.48
Sai Ventures Corp,Karnataka,Construction,5643535.192077253,6403606.598980409,3.46,Micro,4,0.05,548,0,1,0.62
Global Solutions LLP,West Bengal,Retail,10247907.96470725,12625937.553736532,7.29,Small,3,0.08,704,0,1,0.35
Indian Trading LLP,Tamil Nadu,Retail,7736665.796788024,10945444.747326065,5.41,Micro,4,0.08,689,0,1,0.35
Apex Foods LLP,Meghalaya,IT Services,8495671.444237739,11501827.380490342,5.22,Micro,1,0.08,663,0,0,0.28
Shree Builders LLP,Tamil Nadu,Logistics,5938140.996698773,8875200.855811166,10.51,Micro,4,0.08,697,0,1,0.42
Jagannath Logistics Ltd,Karnataka,Retail,6899087.435258145,9808816.435942369,11.77,Micro,3,0.05,682,0,1,0.35
Sai Industries Pvt Ltd,Karnataka,F&B,5111249.013618158,5724605.841200471,4.49,Micro,1,0.05,656,0,1,0.55
Global Logistics Pvt Ltd,Kerala,Manufacturing,7162684.344667679,8083380.122086343,11.43,Micro,4,0.08,696,0,0,0.48
Nova Builders LLP,Maharashtra,Retail,4215093.2347118445,4821579.158971918,8.58,Micro,1,0.05,698,0,1,0.35
Dynamic Ventures Ltd,Kerala,Retail,2904519.7144958465,4344719.631777301,5.78,Micro,4,0.08,682,0,0,0.35
Dynamic Builders LLP,Karnataka,Retail,34767243.00834485,51003954.17224182,12.23,Small,4,0.05,783,0,1,0.35
Shree Enterprises Pvt Ltd,Maharashtra,Manufacturing,547204.519982734,708965.3679139625,1.66,Micro,4,0.05,537,1,1,0.48
Nova Fabrics Pvt Ltd,Karnataka,Manufacturing,8015372.060096478,9619107.301776385,5.12,Micro,4,0.05,682,0,1,0.48
Apex Tech Corp,Maharashtra,Logistics,2280209.838245015,2681702.014285963,4.3,Micro,1,0.05,671,0,1,0.42
Global Foods Ltd,Maharashtra,IT Services,39298282.467716545,58741494.983709686,1.95,Small,3,0.05,572,0,1,0.28
Dynamic Trading Pvt Ltd,Maharashtra,IT Services,94047077.6645282,122799003.18921728,7.04,Small,2,0.05,745,0,1,0.28
Global Ventures Ltd,Gujarat,Manufacturing,4668077.372467154,5142426.392359955,6.87,Micro,4,0.05,668,0,0,0.48
Quality Trading LLP,West Bengal,Logistics,8686802.151959563,9647269.390135696,2.62,Micro,3,0.08,550,0,1,0.42
Ravi Builders Pvt Ltd,Rajasthan,IT Services,697555.2867581077,795826.3591584738,8.08,Micro,3,0.08,667,0,0,0.28
Quality Industries Ltd,Tamil Nadu,Construction,6774328.866670407,10080347.2909948,13.75,Micro,3,0.08,743,0,1,0.62
Balaji Tech Corp,Uttar Pradesh,Retail,3548118.035628121,4516407.623113306,13.7,Micro,1,0.11,688,0,0,0.35
Jagannath Trading LLP,Delhi,Construction,6777838.792204327,9907599.16807768,2.52,Micro,1,0.05,505,0,1,0.62
Indian Solutions Corp,Maharashtra,Retail,4963035.684731121,6053221.148654472,7.42,Micro,2,0.05,671,0,1,0.35
Ravi Logistics Corp,West Bengal,IT Services,5697439.831103318,6693719.22100259,8.83,Micro,2,0.08,687,0,1,0.28
Sai Industries Corp,Karnataka,IT Services,77952841.57080239,104148318.06042156,13.43,Small,1,0.05,751,0,1,0.28
Apex Industries Pvt Ltd,Maharashtra,Retail,5492028.918852044,6121567.441536979,3.08,Micro,2,0.05,550,0,1,0.35
Quality Foods Ltd,Tamil Nadu,Manufacturing,8757468.026938003,11275524.928679684,14.32,Micro,4,0.08,729,0,1,0.48
Shree Ventures Pvt Ltd,Tamil Nadu,Construction,6325355.932925132,9199913.824750029,13.68,Micro,3,0.08,711,0,1,0.62
Sai Enterprises Corp,West Bengal,Construction,4881156.4336537635,5727457.05240315,9.27,Micro,2,0.08,662,0,1,0.62
Nova Logistics Corp,Rajasthan,Retail,2429785.349661712,3305503.803170585,12.81,Micro,2,0.08,714,0,0,0.35
Shree Industries Pvt Ltd,Karnataka,Construction,2269778.4601831324,2607009.8624909315,18.03,Micro,4,0.05,722,0,1,0.62
Nova Tech Pvt Ltd,Maharashtra,Manufacturing,10222047.444176594,14530836.278854022,6.57,Small,1,0.05,715,0,1,0.48
Dynamic Foods LLP,West Bengal,Manufacturing,7358395.660487758,9728209.398985608,7.15,Micro,3,0.08,674,0,1,0.48
Sai Ventures Corp,Maharashtra,Logistics,7455035.466527489,10120159.829692082,6.27,Micro,4,0.05,670,0,1,0.42
Nova Enterprises Corp,Odisha,Construction,4047287.703437141,5915945.408170216,9.36,Micro,4,0.11,665,0,0,0.62
Balaji Fabrics Pvt Ltd,Maharashtra,Construction,1863475.4357843846,2113604.785274883,5.13,Micro,2,0.05,696,0,1,0.62
Quality Tech Ltd,Madhya Pradesh,Manufacturing,9494060.443721991,10717008.998070681,7.77,Micro,2,0.08,700,0,0,0.48
Jagannath Trading LLP,Andhra Pradesh,F&B,4819877.342996337,6904175.737557328,6.56,Micro,3,0.08,690,0,0,0.55
Jagannath Builders LLP,Telangana,Logistics,2258080.33308398,2697103.597062465,1.72,Micro,1,0.08,559,0,1,0.42
Shree Solutions LLP,Maharashtra,F&B,5231606.631843936,6907838.05384308,1.01,Micro,3,0.05,544,0,1,0.55
Ravi Fabrics Corp,Maharashtra,Retail,2424417.8018466947,2969808.9324082844,7.97,Micro,2,0.05,649,0,1,0.35
Ravi Enterprises Corp,Karnataka,Construction,9958638.305757022,11799811.85541158,3.94,Micro,1,0.05,512,0,1,0.62
Shree Industries Pvt Ltd,Tamil Nadu,Manufacturing,406718795.0576925,481030499.6826329,14.61,Medium,4,0.08,776,0,1,0.48
Indian Enterprises LLP,Karnataka,Manufacturing,5858569.51080539,7981579.064723778,10.19,Micro,4,0.05,690,0,1,0.48
Apex Enterprises Corp,Gujarat,Retail,21163509.74540037,26539705.35800731,5.49,Small,3,0.05,710,0,0,0.35
Global Logistics Corp,Uttar Pradesh,Manufacturing,31569249.86196728,41954692.44380927,17.54,Small,3,0.11,739,0,0,0.48
Indian Trading LLP,Delhi,IT Services,5277936.043391974,7889872.275864813,6.59,Micro,3,0.05,686,0,1,0.28
Ravi Trading LLP,Gujarat,Retail,3228947.2257264634,3982750.8649066077,9.56,Micro,3,0.05,684,0,0,0.35
Jagannath Builders Pvt Ltd,Gujarat,Manufacturing,6726713.696641734,8952708.830172714,4.75,Micro,1,0.05,669,0,0,0.48
Global Builders Corp,Delhi,Retail,88810802.48172237,116006111.09008102,6.33,Small,2,0.05,671,0,1,0.35
Nova Enterprises LLP,Maharashtra,Retail,5870025.768740279,7204849.837212137,6.75,Micro,2,0.05,658,0,1,0.35
Dynamic Enterprises LLP,Karnataka,Retail,76496462.65072668,85777113.01231939,12.4,Small,1,0.05,781,0,1,0.35
Balaji Fabrics Corp,Telangana,IT Services,3785969.14670437,5079105.778964687,9.95,Micro,4,0.08,654,0,1,0.28
Ravi Logistics Pvt Ltd,Maharashtra,IT Services,86753425.41804859,122298107.4786497,3.5,Small,2,0.05,607,0,1,0.28
Quality Solutions Ltd,Tamil Nadu,Logistics,2301780.726153126,3192075.170242061,3.01,Micro,2,0.08,535,0,1,0.42
Maruti Industries Ltd,Maharashtra,Manufacturing,9703734.931901637,12508841.578063695,3.44,Micro,2,0.05,552,0,1,0.48
Indian Logistics Corp,Gujarat,Retail,9404697.614180211,11825850.876929466,3.45,Micro,3,0.05,529,0,0,0.35
Sai Enterprises Pvt Ltd,Tamil Nadu,Manufacturing,826386.1293852815,1055338.3690410466,17.64,Micro,2,0.08,765,0,1,0.48
Ravi Solutions LLP,Delhi,IT Services,796653.3342479179,1053467.3989938884,10.1,Micro,3,0.05,709,0,1,0.28
Global Logistics Pvt Ltd,Telangana,Manufacturing,8863519.939962853,12460461.559096884,15.58,Micro,3,0.08,751,0,1,0.48
Jagannath Industries LLP,Telangana,IT Services,64620085.14731402,71252648.72311431,13.97,Small,2,0.08,775,0,1,0.28
Indian Tech Corp,Delhi,Manufacturing,5880218.579309606,6845646.858694195,3.77,Micro,2,0.05,526,0,1,0.48
Indian Foods Pvt Ltd,Maharashtra,Construction,2634376.388862121,3892101.8307184083,5.66,Micro,2,0.05,671,0,1,0.62
Jagannath Trading Ltd,Punjab,Retail,6812951.643883891,10200101.517394701,11.14,Micro,3,0.08,688,0,0,0.35
Ravi Logistics Corp,Tamil Nadu,Manufacturing,5285906.496168367,7616948.8473963775,21.68,Micro,3,0.08,749,0,1,0.48
Nova Industries Pvt Ltd,Karnataka,Manufacturing,7644907.144726437,8463323.4617908,8.31,Micro,3,0.05,702,0,1,0.48
Maruti Foods Corp,Haryana,Construction,2991702.7342246906,3862691.86618577,7.81,Micro,4,0.08,650,0,0,0.62
Ravi Ventures LLP,Karnataka,Retail,631737.1787285663,700978.0451768363,4.17,Micro,3,0.05,681,0,1,0.35
Jagannath Enterprises Corp,Rajasthan,Logistics,3518938.008532465,4833182.139215237,4.71,Micro,4,0.08,658,0,0,0.42
Shree Logistics LLP,Maharashtra,F&B,57125640.3935432,80331225.19792946,4.69,Small,4,0.05,714,0,1,0.55
Sai Logistics Pvt Ltd,Telangana,Construction,81898283.59835933,122630961.77439438,9.19,Small,3,0.08,731,0,1,0.62
Quality Logistics LLP,Ladakh,Retail,8787376.512167169,10682589.069626385,15.02,Micro,4,0.08,749,0,0,0.35
Ravi Enterprises Corp,Telangana,IT Services,5803403.356241807,7721285.000301343,8.62,Micro,4,0.08,705,0,1,0.28
Maruti Trading Pvt Ltd,Telangana,IT Services,3638140.0193837094,4807186.751896473,8.73,Micro,2,0.08,698,0,1,0.28
Apex Industries Pvt Ltd,Karnataka,Retail,4830404.118935348,6032045.37807252,5.59,Micro,1,0.05,666,0,1,0.35
Jagannath Enterprises Pvt Ltd,Maharashtra,Retail,13450607.619862964,19871666.823536407,10.06,Small,2,0.05,665,0,1,0.35
Dynamic Builders Corp,Telangana,Construction,30572180.33256354,37914467.97324713,4.26,Small,1,0.08,718,0,1,0.62
Global Enterprises Ltd,Maharashtra,Retail,80176095.09566145,115758720.9886025,2.72,Small,3,0.05,576,0,1,0.35
Nova Tech Ltd,Maharashtra,Manufacturing,910820.0500939685,1279592.2418039306,9.7,Micro,2,0.05,642,0,1,0.48
Ravi Trading LLP,Gujarat,Retail,4577400.118647636,6320998.355331793,4.12,Micro,1,0.05,689,0,0,0.35
Ravi Ventures Corp,Andhra Pradesh,Construction,1118289.9602859602,1379734.2912938157,14.85,Micro,2,0.08,761,0,0,0.62
Dynamic Industries LLP,Maharashtra,Retail,8317630.603967356,9661215.207461625,14.83,Micro,4,0.05,740,0,1,0.35
Jagannath Enterprises LLP,Gujarat,Retail,361675541.7135777,497187554.8113886,13.58,Medium,2,0.05,770,0,0,0.35
Dynamic Solutions Pvt Ltd,Gujarat,Retail,982702.2062514685,1453822.0228163237,5.84,Micro,2,0.05,642,0,0,0.35
Nova Solutions Corp,Maharashtra,Logistics,4917588.5950588025,6828255.958860297,6.61,Micro,2,0.05,690,0,1,0.42
Dynamic Tech LLP,Andhra Pradesh,Logistics,9421571.567660864,11029557.750307893,0.96,Micro,1,0.08,498,0,0,0.42
Jagannath Enterprises LLP,Tamil Nadu,Retail,8338139.874815682,11675801.679359784,3.65,Micro,2,0.08,537,0,1,0.35
Quality Foods LLP,West Bengal,Manufacturing,80103333.37080808,109134621.5888095,18.18,Small,2,0.08,753,0,1,0.48
Sai Ventures Ltd,Madhya Pradesh,Logistics,3799376.313725835,4774925.823825525,7.37,Micro,1,0.08,686,0,0,0.42
Quality Enterprises Pvt Ltd,Tamil Nadu,Construction,5940866.680699278,7538526.705726859,4.16,Micro,3,0.08,663,0,1,0.62
Balaji Industries Corp,Delhi,Retail,71025106.21246898,94169177.31468397,4.72,Small,4,0.05,680,0,1,0.35
Quality Industries Ltd,Karnataka,Construction,47292699.86840748,66801084.2758353,7.12,Small,3,0.05,668,0,1,0.62
Ravi Foods Pvt Ltd,Maharashtra,Manufacturing,7854011.245270333,11226858.354862433,3.59,Micro,4,0.05,554,0,1,0.48
Nova Logistics Pvt Ltd,Maharashtra,Construction,8113070.892972876,11627051.460986022,5.14,Micro,4,0.05,701,0,1,0.62
Quality Fabrics Pvt Ltd,Karnataka,IT Services,1195371.5533393978,1791719.5135769607,9.78,Micro,4,0.05,674,0,1,0.28
Maruti Logistics Pvt Ltd,Tamil Nadu,IT Services,3714236.275816319,5521848.041278903,4.94,Micro,2,0.08,685,0,1,0.28
Global Foods Ltd,Tamil Nadu,Construction,5306606.225148953,6080002.642498009,8.72,Micro,4,0.08,688,0,1,0.62
Global Solutions Corp,Haryana,Retail,2286268.196489189,3127661.496921616,15.42,Micro,4,0.08,713,0,0,0.35
Indian Solutions Pvt Ltd,Tamil Nadu,Retail,4290866.070989781,4934498.570222028,6.27,Micro,3,0.08,689,0,1,0.35
Global Tech LLP,Tamil Nadu,Retail,9128994.886223698,11568120.37612495,4.53,Micro,4,0.08,679,0,1,0.35
Quality Tech Corp,Maharashtra,Manufacturing,3463229.0164360185,4390684.067270716,3.93,Micro,1,0.05,556,0,1,0.48
Global Fabrics Corp,Maharashtra,Retail,6653604.806723134,9741793.407365367,4.32,Micro,4,0.05,690,0,1,0.35
Balaji Logistics Ltd,Tamil Nadu,Manufacturing,1057380.684113074,1174595.8894444928,5.13,Micro,3,0.08,692,0,1,0.48
Dynamic Builders Corp,Tamil Nadu,Manufacturing,6675296.303836744,9621352.349753829,9.09,Micro,2,0.08,654,0,1,0.48
Jagannath Tech LLP,Maharashtra,Construction,3788378.9225654667,5137657.395581887,4.39,Micro,2,0.05,663,0,1,0.62
Indian Industries Ltd,Gujarat,Construction,9503079.875926415,13129596.250485696,6.91,Micro,3,0.05,667,0,0,0.62
Apex Builders Ltd,Gujarat,Retail,55104210.42395499,62820265.56312606,5.26,Small,3,0.05,707,0,0,0.35
Ravi Industries Ltd,Maharashtra,F&B,6784430.764189433,9272824.892114064,9.76,Micro,4,0.05,680,0,1,0.55
Global Foods Corp,Odisha,Manufacturing,705569.2187415173,1044285.0478799657,4.24,Micro,2,0.11,648,0,0,0.48
Maruti Industries LLP,Delhi,Retail,9464581.6489081,13062438.839241916,12.96,Micro,4,0.05,723,0,1,0.35
Balaji Foods Ltd,Karnataka,Retail,2618015.873868065,3619778.8004364637,5.42,Micro,1,0.05,659,0,1,0.35
Shree Foods Ltd,Tamil Nadu,Manufacturing,9735869.922609186,12093530.724744733,9.78,Micro,3,0.08,685,0,1,0.48
Shree Industries LLP,Maharashtra,Retail,29378779.246607702,39192961.98819381,8.43,Small,2,0.05,735,0,1,0.35
Shree Tech Ltd,Karnataka,Retail,1774944.555110825,2483368.766466813,8.61,Micro,3,0.05,728,0,1,0.35
Maruti Logistics Pvt Ltd,Gujarat,F&B,5438975.870490788,7241043.643048388,7.55,Micro,1,0.05,657,0,0,0.55
Apex Industries LLP,Gujarat,Retail,2637585.4931090465,3253631.888887132,9.17,Micro,4,0.05,688,0,0,0.35
Dynamic Foods Ltd,Tripura,Retail,87799040.96048883,103572347.96313691,13.67,Small,2,0.08,750,0,0,0.35
Global Enterprises LLP,Karnataka,Manufacturing,3348569.315526436,3924864.3840999827,8.58,Micro,2,0.05,703,0,1,0.48
Quality Logistics Pvt Ltd,Telangana,Manufacturing,8738843.954869092,12076417.519680625,12.39,Micro,2,0.08,700,0,1,0.48
Nova Builders Ltd,Telangana,Construction,8672434.187021056,12633530.430724856,8.14,Micro,2,0.08,681,0,1,0.62
Apex Tech LLP,Uttar Pradesh,Manufacturing,5073227.868443172,7509996.601319734,6.16,Micro,3,0.11,659,0,0,0.48
Balaji Industries Ltd,Maharashtra,Construction,6259906.18569778,8312196.978035488,8.21,Micro,1,0.05,712,0,1,0.62
Quality Ventures Ltd,Uttar Pradesh,Retail,968447.0225353515,1139107.9102705067,10.35,Micro,2,0.11,662,0,0,0.35
Maruti Builders Corp,Gujarat,IT Services,7390968.556299776,10639199.837407315,14.35,Micro,1,0.05,723,0,0,0.28
Sai Industries Pvt Ltd,Delhi,Retail,9834782.066450045,13846547.701136125,6.85,Micro,1,0.05,666,0,1,0.35
Sai Trading Pvt Ltd,Karnataka,IT Services,4643624.529968981,6057489.51928893,18.21,Micro,4,0.05,720,0,1,0.28
Indian Tech Ltd,Delhi,Manufacturing,2273644.3517740904,2959735.1852222066,3.36,Micro,2,0.05,490,0,1,0.48
Jagannath Enterprises Pvt Ltd,Tamil Nadu,Construction,7132997.900104301,8671190.801569019,4.8,Micro,3,0.08,680,0,1,0.62
