0,1,2,3,4,5,6,7,8,9
"  3.9. Non-Banking Financial Companies (NBFCs)2            of which,",1495417.5768539999,1523054.468859,1617897.767662,1635102.1619060002,1905206.7822989998,8.190367206039467,17.758168679111655,6.227177080150791,16.519128081767377
    3.9.1. Housing Finance Companies (HFCs),334241.435015,321364.514275,325681.86,323181.87,353406.39,-2.5608958430351025,8.512764573378458,1.3434419586555524,9.352170652394586
    3.9.2. Public Financial Institutions (PFIs),204974.367036,212796.53246,219865.522192,228678.443837,305669.872459,7.264886517924768,39.02583243227666,3.3219478016300834,33.66798694715571
  3.10. Other Services3,937242.20701,985814.5735490001,1081788.571738,1123459.106523,1235949.0857960002,15.422519776305569,14.250521597794855,9.73550206744124,10.012823663973506
4. Personal Loans,5229492.695412,5346691.220911,5849356.318726,5971696.129846,6723042.124724,11.853226678332044,14.936443574158764,9.40142374126766,12.581785451587866
  4.1. Consumer Durables,23869.159414,23444.837766,23299.895966,23200.658602,22359.641494,-2.3849329510368547,-4.0354449366299825,-0.618224794074698,-3.6249708356447288
  4.2. Housing (Including Priority Sector Housing),2658081.562397,2718712.395268,2950973.722526,3010476.605355,3278420.304948,11.018930505084885,11.096221559767375,8.54306353486516,8.900374748516052
"  4.3. Advances against Fixed Deposits (Including FCNR              (B), NRNR Deposits etc.)",116546.692276,125082.24251,136461.295664,141842.08336,154359.968207,17.08723173441872,13.11629972140288,9.097257073153516,8.825226301301
"  4.4. Advances to Individuals against share, bonds, etc.",7340.133668,8492.355003,9765.771392,10079.513133,10263.564514,33.046233675209415,5.097325157619244,14.99485582680133,1.825994753629727
  4.5. Credit Card Outstanding,258503.29871,257016.060676,292083.480649,284366.260475,296417.211618,12.990233434766205,1.4837302538885857,13.644057838551472,4.237827343817196
  4.6. Education,117186.010441,119379.603656,135864.67557,137456.056824,154899.320815,15.939330180033895,14.01000308957645,13.808951788366445,12.690065751947568
  4.7. Vehicle Loans,560961.594102,573390.822871,615234.996383,622793.449718,720567.284783,9.675065610843134,17.120659425951743,7.297670601437931,15.699239468442041
  4.8. Loans against gold jewellery4,91458.092834,93301.371708,175086.235752,206284.024542,400517.195347,91.43875662243292,128.7542442310031,87.65665771769942,94.1581255437711
  4.9. Other Personal Loans,1395546.15157,1427871.531455,1510586.244825,1535197.477836,1685237.632997,8.243374332377254,11.56182831469071,5.792868024038114,9.773345600625598
Priority Sector (Memo),,,,,,,,,
  (i)     Agriculture and Allied Activities5,2008221.861126,2061125.592131,2248829.057853,2287794.295478,2565249.745375,11.981106340117842,14.070464200782476,9.106842709566909,12.127639729035604
  (ii)    Micro and Small Enterprises6,1939652.614843,1974181.592811,2191765.631903,2239408.718898,2735314.276135,12.997843795880264,24.7995787651832,11.021480490160295,22.144486312486624
  (iii)   Medium Enterprises7,470609.083033,490692.832477,574228.296943,601450.822701,682981.134683,22.018107521892873,18.938954823188585,17.023983016893883,13.5556073588632
  (iv)   Housing,757001.334045,755222.25644,747261.250811,746651.293154,1030805.285492,-1.2866665877528056,37.94443166607003,-1.0541275182390626,38.05712183764907
  (v)    Educational Loans,61683.378536,62234.726239,63055.758325,62825.537219,77853.485163,2.2248777897258822,23.46768515847518,1.3192507392849933,23.92012644733133
  (vi)   Renewable Energy,5396.928623,5790.134324,7558.59,10324.84,12243.33,40.05354763795994,61.97901989656801,30.542567357544442,18.581304891891783
  (vii)  Social Infrastructure,829.755805,813.034724,983.06,1316.48,1255.14,18.475820726557007,27.676845767298047,20.912424891707325,-4.659394749635385
  (viii)  Export Credit,12053.264607000001,11848.864447,12881.571997000001,12478.775188000001,10662.787879000001,6.872058458908765,-17.224482528349288,8.715666844019564,-14.552608582501856
  (ix)   Others,64185.31376,61339.167429,53143.411114,49552.334361,40416.672256,-17.203160659598208,-23.947914880170902,-13.361375216718708,-18.43639098502329
  (x)    Weaker Sections including net PSLC- SF/MF,1589097.062936,1617777.593105,1793997.235779,1864606.180081,2007818.807787,12.894125703336734,11.918723604674515,10.892698936185765,7.680583129879929
"Notes:
(1) Data are provisional. Bank credit, Food credit and Non-food credit data are based on fortnightly Section-42 return, which covers all scheduled commercial banks (SCBs), while sectoral non-food credit data are based on sector-wise and industry-wise bank credit (SIBC) return, which covers select banks accounting for about 95 per cent of total non-food credit extended by all SCBs. ",,,,,,,,,
"(2) With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data for the last reporting fortnight (as per old definition) for the corresponding month of the previous year.",,,,,,,,,
1 Wholesale trade includes food procurement credit outside the food credit consortium.,,,,,,,,,
"2 NBFCs include HFCs, PFIs, Microfinance Institutions (MFIs), NBFCs engaged in gold loan and others.        ",,,,,,,,,
"3 “Other Services” include Mutual Fund (MFs), Banking and Finance other than NBFCs and MFs, and other services which are not indicated elsewhere under services.",,,,,,,,,
"4 Since May 2024, a bank has changed the classification of a category of agricultural loan into “Loans against gold jewellery” under retail segment.",,,,,,,,,
5 “Agriculture and Allied Activities” under the priority sector also include priority sector lending certificates (PSLCs).        ,,,,,,,,,
6 “Micro and Small Enterprises” under the priority sector include credit to micro and small enterprises in industry and services sectors and also include PSLCs.,,,,,,,,,
7 “Medium Enterprises” under the priority sector include credit to medium enterprises in industry and services sectors.       ,,,,,,,,,
